City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,pacific grove,75,US,1562718243,72,36.62,-121.92,81.0,9.17
272,inta,93,RU,1562718243,92,66.04,60.13,46.85,5.73
273,rosario,85,UY,1562718243,78,-34.31,-57.35,53.01,8.84
274,beloha,0,MG,1562718244,85,-25.17,45.06,60.35,5.82
275,buriti,0,BR,1562718244,87,-22.93,-45.39,55.4,2.24
276,trairi,7,BR,1562717949,91,-3.28,-39.27,70.07,3.06
277,comodoro rivadavia,0,AR,1562718244,81,-45.87,-67.48,42.8,2.24
278,ziro,100,IN,1562718245,99,27.54,93.82,61.25,0.51
279,bahia blanca,0,AR,1562718245,67,-38.72,-62.27,49.55,4.56
280,puerto rico,5,CO,1562718245,97,1.91,-75.15,55.85,2.26
281,hirara,75,JP,1562718245,84,24.8,125.28,86.0,20.8
282,havoysund,0,NO,1562718246,93,71.0,24.66,44.6,11.41
283,kruisfontein,0,ZA,1562718246,77,-34.0,24.73,50.63,2.46
284,cotonou,40,BJ,1562718246,88,6.37,2.43,78.8,10.29
285,teguldet,88,RU,1562718068,89,57.31,88.17,58.73,3.42
286,nizhniy tsasuchey,75,RU,1562718246,48,50.52,115.13,73.67,3.15
287,broome,99,GB,1562718247,82,52.47,1.45,63.0,5.82
288,puerto escondido,75,MX,1562718247,70,15.86,-97.07,84.2,8.05
289,albania,49,CO,1562718247,95,5.76,-73.91,65.75,3.0
290,coihaique,75,CL,1562718248,93,-45.58,-72.07,41.0,2.24
291,camiri,0,BO,1562718248,88,-20.04,-63.52,64.4,2.86
292,itarema,32,BR,1562718248,83,-2.92,-39.92,74.93,7.14
293,brownsville,1,US,1562718043,66,25.91,-97.49,91.4,19.46
294,mandalgovi,62,MN,1562718249,35,45.76,106.27,71.69,9.53
295,moron,58,HT,1562718249,70,18.56,-74.26,81.77,2.08
296,guerrero negro,0,MX,1562718249,78,27.97,-114.04,67.01,15.17
297,olkhovka,55,RU,1562718249,78,53.21,60.61,57.47,8.75
298,esperance,90,AU,1562717979,93,-33.86,121.89,50.0,16.11
299,takoradi,100,GH,1562718250,97,4.89,-1.75,72.23,3.27
300,sohag,0,EG,1562718250,23,26.55,31.7,84.2,5.82
301,te anau,100,NZ,1562718250,92,-45.41,167.72,43.97,5.14
302,rio grande,70,BR,1562718251,85,-32.03,-52.1,49.55,4.25
303,auburn,1,US,1562718032,41,44.1,-70.23,79.0,5.82
304,kutum,49,SD,1562718251,44,14.2,24.66,79.61,2.21
305,mattru,100,SL,1562718251,95,7.62,-11.83,72.95,2.71
306,berlevag,100,NO,1562718252,86,70.86,29.09,43.07,7.65
307,los llanos de aridane,75,ES,1562718252,73,28.66,-17.92,71.6,11.41
308,lafiagi,88,NG,1562718252,92,8.85,5.42,73.49,3.0
309,egvekinot,0,RU,1562718253,23,66.32,-179.17,78.35,4.0
310,kavieng,100,PG,1562718253,77,-2.57,150.8,80.87,8.05
311,damavand,20,IR,1562718253,36,35.72,52.07,75.2,9.17
312,bontang,95,ID,1562718253,84,0.12,117.47,76.19,3.4
313,chapais,1,CA,1562718254,40,49.78,-74.86,71.6,2.24
314,dunmore east,98,IE,1562718254,90,52.15,-6.99,61.0,3.47
315,verkhnyaya inta,93,RU,1562718254,92,65.99,60.32,46.85,5.73
316,george,0,MW,1562718255,78,-15.35,34.83,53.15,1.66
317,warrington,40,GB,1562718255,72,53.39,-2.59,61.0,5.82
318,shingu,75,JP,1562718255,78,33.72,135.99,77.0,3.36
319,coquimbo,40,CL,1562718255,87,-29.95,-71.34,55.99,6.93
320,dongsheng,11,CN,1562718256,79,29.72,112.52,74.39,3.62
321,maumelle,1,US,1562718256,55,34.87,-92.4,93.99,6.93
322,ekibastuz,0,KZ,1562718257,80,51.72,75.32,58.19,10.13
323,camacha,40,PT,1562717972,72,33.08,-16.33,68.0,11.41
324,walvis bay,5,NA,1562718257,16,-22.95,14.51,73.4,10.29
325,kilindoni,0,TZ,1562718257,79,-7.91,39.67,78.71,19.71
326,belmonte,0,PT,1562718258,90,40.36,-7.35,69.01,3.02
327,muriwai beach,0,NZ,1562718258,82,-36.82,174.45,59.0,8.05
328,bamako,20,ML,1562717968,88,12.65,-8.0,75.2,3.36
329,duzce,14,TR,1562718259,67,40.84,31.16,66.65,3.06
330,vuktyl,56,RU,1562718259,92,63.86,57.31,48.83,7.05
